"","method","variable","value","diff"
"1","true","Dem"," 0.4660"," 0.0000"
"2","hd.ord","Dem"," 0.4645","-0.0015"
"3","hot.deck","Dem"," 0.4647","-0.0013"
"4","amelia","Dem"," 0.4642","-0.0018"
"5","mice","Dem"," 0.4646","-0.0014"
"6","na.omit","Dem"," 0.4554","-0.0106"
"7","true","Male"," 0.5260"," 0.0000"
"8","hd.ord","Male"," 0.5208","-0.0052"
"9","hot.deck","Male"," 0.5209","-0.0051"
"10","amelia","Male"," 0.5206","-0.0054"
"11","mice","Male"," 0.5205","-0.0055"
"12","na.omit","Male"," 0.5200","-0.0060"
"13","true","Interest"," 3.2170"," 0.0000"
"14","hd.ord","Interest"," 3.2031","-0.0139"
"15","hot.deck","Interest"," 3.2020","-0.0150"
"16","amelia","Interest"," 3.2117","-0.0053"
"17","mice","Interest"," 3.2116","-0.0054"
"18","na.omit","Interest"," 3.1918","-0.0252"
"19","true","Inc"," 3.0890"," 0.0000"
"20","hd.ord","Inc"," 3.0651","-0.0239"
"21","hot.deck","Inc"," 3.0628","-0.0262"
"22","amelia","Inc"," 3.0706","-0.0184"
"23","mice","Inc"," 3.0713","-0.0177"
"24","na.omit","Inc"," 3.0557","-0.0333"
"25","true","Age","37.9120"," 0.0000"
"26","hd.ord","Age","37.6309","-0.2811"
"27","hot.deck","Age","37.6131","-0.2989"
"28","amelia","Age","37.7961","-0.1159"
"29","mice","Age","37.7961","-0.1159"
"30","na.omit","Age","37.6881","-0.2239"
"31","true","Black"," 0.0690"," 0.0000"
"32","hd.ord","Black"," 0.0662","-0.0028"
"33","hot.deck","Black"," 0.0661","-0.0029"
"34","amelia","Black"," 0.0679","-0.0011"
"35","mice","Black"," 0.0680","-0.0010"
"36","na.omit","Black"," 0.0645","-0.0045"
"37","true","Empl"," 0.7430"," 0.0000"
"38","hd.ord","Empl"," 0.7408","-0.0022"
"39","hot.deck","Empl"," 0.7408","-0.0022"
"40","amelia","Empl"," 0.7406","-0.0024"
"41","mice","Empl"," 0.7405","-0.0025"
"42","na.omit","Empl"," 0.7393","-0.0037"
"43","true","Hisp"," 0.0550"," 0.0000"
"44","hd.ord","Hisp"," 0.0523","-0.0027"
"45","hot.deck","Hisp"," 0.0523","-0.0027"
"46","amelia","Hisp"," 0.0539","-0.0011"
"47","mice","Hisp"," 0.0540","-0.0010"
"48","na.omit","Hisp"," 0.0517","-0.0033"
"49","true","Official"," 0.3560"," 0.0000"
"50","hd.ord","Official"," 0.3506","-0.0054"
"51","hot.deck","Official"," 0.3506","-0.0054"
"52","amelia","Official"," 0.3511","-0.0049"
"53","mice","Official"," 0.3512","-0.0048"
"54","na.omit","Official"," 0.3418","-0.0142"
"55","true","Stud"," 0.0440"," 0.0000"
"56","hd.ord","Stud"," 0.0414","-0.0026"
"57","hot.deck","Stud"," 0.0415","-0.0025"
"58","amelia","Stud"," 0.0417","-0.0023"
"59","mice","Stud"," 0.0420","-0.0020"
"60","na.omit","Stud"," 0.0423","-0.0017"
"61","true","Media"," 1.7240"," 0.0000"
"62","hd.ord","Media"," 1.7098","-0.0142"
"63","hot.deck","Media"," 1.7088","-0.0152"
"64","amelia","Media"," 1.7139","-0.0101"
"65","mice","Media"," 1.7139","-0.0101"
"66","na.omit","Media"," 1.6877","-0.0363"
"67","true","Participation"," 0.9540"," 0.0000"
"68","hd.ord","Participation"," 0.9425","-0.0115"
"69","hot.deck","Participation"," 0.9425","-0.0115"
"70","amelia","Participation"," 0.9441","-0.0099"
"71","mice","Participation"," 0.9446","-0.0094"
"72","na.omit","Participation"," 0.9182","-0.0358"
