"","method","variable","value","diff"
"1","true","Dem"," 0.4660"," 0.0000"
"2","hd.ord","Dem"," 0.4617","-0.0043"
"3","hot.deck","Dem"," 0.4618","-0.0042"
"4","amelia","Dem"," 0.4601","-0.0059"
"5","mice","Dem"," 0.4614","-0.0046"
"6","na.omit","Dem"," 0.4453","-0.0207"
"7","true","Male"," 0.5260"," 0.0000"
"8","hd.ord","Male"," 0.5093","-0.0167"
"9","hot.deck","Male"," 0.5103","-0.0157"
"10","amelia","Male"," 0.5090","-0.0170"
"11","mice","Male"," 0.5088","-0.0172"
"12","na.omit","Male"," 0.5091","-0.0169"
"13","true","Inc"," 3.0890"," 0.0000"
"14","hd.ord","Inc"," 3.0162","-0.0728"
"15","hot.deck","Inc"," 3.0078","-0.0812"
"16","amelia","Inc"," 3.0301","-0.0589"
"17","mice","Inc"," 3.0325","-0.0565"
"18","na.omit","Inc"," 3.0038","-0.0852"
"19","true","Age","37.9120"," 0.0000"
"20","hd.ord","Age","37.0507","-0.8613"
"21","hot.deck","Age","36.9771","-0.9349"
"22","amelia","Age","37.5418","-0.3702"
"23","mice","Age","37.5415","-0.3705"
"24","na.omit","Age","37.2907","-0.6213"
