"","method","variable","value","diff"
"1","true","Dem"," 0.3770"," 0.0000"
"2","hd.ord","Dem"," 0.3637","-0.0133"
"3","hot.deck","Dem"," 0.3639","-0.0131"
"4","amelia","Dem"," 0.3639","-0.0131"
"5","mice","Dem"," 0.3640","-0.0130"
"6","na.omit","Dem"," 0.3585","-0.0185"
"7","true","Male"," 0.4830"," 0.0000"
"8","hd.ord","Male"," 0.4668","-0.0162"
"9","hot.deck","Male"," 0.4670","-0.0160"
"10","amelia","Male"," 0.4676","-0.0154"
"11","mice","Male"," 0.4677","-0.0153"
"12","na.omit","Male"," 0.4589","-0.0241"
"13","true","Inc"," 6.4810"," 0.0000"
"14","hd.ord","Inc"," 6.3776","-0.1034"
"15","hot.deck","Inc"," 6.3507","-0.1303"
"16","amelia","Inc"," 6.4069","-0.0741"
"17","mice","Inc"," 6.4080","-0.0730"
"18","na.omit","Inc"," 6.3297","-0.1513"
"19","true","Age","52.8230"," 0.0000"
"20","hd.ord","Age","52.3386","-0.4844"
"21","hot.deck","Age","52.0971","-0.7259"
"22","amelia","Age","52.5399","-0.2831"
"23","mice","Age","52.5528","-0.2702"
"24","na.omit","Age","52.1748","-0.6482"
