"","method","variable","value","diff"
"1","true","Dem"," 0.3770"," 0.0000"
"2","hd.ord","Dem"," 0.3767","-0.0003"
"3","hot.deck","Dem"," 0.3766","-0.0004"
"4","amelia","Dem"," 0.3770"," 0.0000"
"5","mice","Dem"," 0.3771"," 0.0001"
"6","na.omit","Dem"," 0.3598","-0.0172"
"7","true","Male"," 0.4830"," 0.0000"
"8","hd.ord","Male"," 0.4828","-0.0002"
"9","hot.deck","Male"," 0.4827","-0.0003"
"10","amelia","Male"," 0.4829","-0.0001"
"11","mice","Male"," 0.4828","-0.0002"
"12","na.omit","Male"," 0.4466","-0.0364"
"13","true","Interest"," 3.3290"," 0.0000"
"14","hd.ord","Interest"," 3.3249","-0.0041"
"15","hot.deck","Interest"," 3.3223","-0.0067"
"16","amelia","Interest"," 3.3289","-0.0001"
"17","mice","Interest"," 3.3289","-0.0001"
"18","na.omit","Interest"," 3.2775","-0.0515"
"19","true","Inc"," 6.4810"," 0.0000"
"20","hd.ord","Inc"," 6.4680","-0.0130"
"21","hot.deck","Inc"," 6.4598","-0.0212"
"22","amelia","Inc"," 6.4805","-0.0005"
"23","mice","Inc"," 6.4807","-0.0003"
"24","na.omit","Inc"," 6.1950","-0.2860"
"25","true","Age","52.8230"," 0.0000"
"26","hd.ord","Age","52.7347","-0.0883"
"27","hot.deck","Age","52.6795","-0.1435"
"28","amelia","Age","52.8215","-0.0015"
"29","mice","Age","52.8180","-0.0050"
"30","na.omit","Age","52.2256","-0.5974"
"31","true","Black"," 0.0950"," 0.0000"
"32","hd.ord","Black"," 0.0950"," 0.0000"
"33","hot.deck","Black"," 0.0950"," 0.0000"
"34","amelia","Black"," 0.0951"," 0.0001"
"35","mice","Black"," 0.0951"," 0.0001"
"36","na.omit","Black"," 0.0860","-0.0090"
"37","true","Empl"," 0.4370"," 0.0000"
"38","hd.ord","Empl"," 0.4370"," 0.0000"
"39","hot.deck","Empl"," 0.4371"," 0.0001"
"40","amelia","Empl"," 0.4370"," 0.0000"
"41","mice","Empl"," 0.4369","-0.0001"
"42","na.omit","Empl"," 0.4069","-0.0301"
"43","true","Religious"," 0.6420"," 0.0000"
"44","hd.ord","Religious"," 0.6417","-0.0003"
"45","hot.deck","Religious"," 0.6417","-0.0003"
"46","amelia","Religious"," 0.6419","-0.0001"
"47","mice","Religious"," 0.6418","-0.0002"
"48","na.omit","Religious"," 0.6186","-0.0234"
"49","true","Married"," 0.6310"," 0.0000"
"50","hd.ord","Married"," 0.6309","-0.0001"
"51","hot.deck","Married"," 0.6311"," 0.0001"
"52","amelia","Married"," 0.6308","-0.0002"
"53","mice","Married"," 0.6308","-0.0002"
"54","na.omit","Married"," 0.5984","-0.0326"
"55","true","OwnHome"," 0.7010"," 0.0000"
"56","hd.ord","OwnHome"," 0.7008","-0.0002"
"57","hot.deck","OwnHome"," 0.7010"," 0.0000"
"58","amelia","OwnHome"," 0.7010"," 0.0000"
"59","mice","OwnHome"," 0.7009","-0.0001"
"60","na.omit","OwnHome"," 0.6706","-0.0304"
"61","true","Gay"," 0.0420"," 0.0000"
"62","hd.ord","Gay"," 0.0421"," 0.0001"
"63","hot.deck","Gay"," 0.0420"," 0.0000"
"64","amelia","Gay"," 0.0420"," 0.0000"
"65","mice","Gay"," 0.0420"," 0.0000"
"66","na.omit","Gay"," 0.0308","-0.0112"
"67","true","StudLoans"," 0.1910"," 0.0000"
"68","hd.ord","StudLoans"," 0.1913"," 0.0003"
"69","hot.deck","StudLoans"," 0.1912"," 0.0002"
"70","amelia","StudLoans"," 0.1910"," 0.0000"
"71","mice","StudLoans"," 0.1909","-0.0001"
"72","na.omit","StudLoans"," 0.1793","-0.0117"
