"","method","variable","value","diff"
"1","true","Rep"," 0.2060"," 0.0000"
"2","hd.ord","Rep"," 0.2060"," 0.0000"
"3","hd.norm.orig","Rep"," 0.2060"," 0.0000"
"4","amelia","Rep"," 0.2060"," 0.0000"
"5","mice","Rep"," 0.2060"," 0.0000"
"6","na.omit","Rep"," 0.1943","-0.0117"
"7","true","Ind"," 0.2770"," 0.0000"
"8","hd.ord","Ind"," 0.2771"," 0.0001"
"9","hd.norm.orig","Ind"," 0.2770"," 0.0000"
"10","amelia","Ind"," 0.2770"," 0.0000"
"11","mice","Ind"," 0.2769","-0.0001"
"12","na.omit","Ind"," 0.2641","-0.0129"
"13","true","Black"," 0.0670"," 0.0000"
"14","hd.ord","Black"," 0.0669","-0.0001"
"15","hd.norm.orig","Black"," 0.0670"," 0.0000"
"16","amelia","Black"," 0.0670"," 0.0000"
"17","mice","Black"," 0.0670"," 0.0000"
"18","na.omit","Black"," 0.0599","-0.0071"
"19","true","Hisp"," 0.0540"," 0.0000"
"20","hd.ord","Hisp"," 0.0540"," 0.0000"
"21","hd.norm.orig","Hisp"," 0.0540"," 0.0000"
"22","amelia","Hisp"," 0.0540"," 0.0000"
"23","mice","Hisp"," 0.0540"," 0.0000"
"24","na.omit","Hisp"," 0.0479","-0.0061"
"25","true","Male"," 0.5540"," 0.0000"
"26","hd.ord","Male"," 0.5542"," 0.0002"
"27","hd.norm.orig","Male"," 0.5541"," 0.0001"
"28","amelia","Male"," 0.5539","-0.0001"
"29","mice","Male"," 0.5538","-0.0002"
"30","na.omit","Male"," 0.5393","-0.0147"
"31","true","Unempl"," 0.1640"," 0.0000"
"32","hd.ord","Unempl"," 0.1640"," 0.0000"
"33","hd.norm.orig","Unempl"," 0.1639","-0.0001"
"34","amelia","Unempl"," 0.1640"," 0.0000"
"35","mice","Unempl"," 0.1641"," 0.0001"
"36","na.omit","Unempl"," 0.1585","-0.0055"
"37","true","Stud"," 0.0480"," 0.0000"
"38","hd.ord","Stud"," 0.0481"," 0.0001"
"39","hd.norm.orig","Stud"," 0.0481"," 0.0001"
"40","amelia","Stud"," 0.0480"," 0.0000"
"41","mice","Stud"," 0.0481"," 0.0001"
"42","na.omit","Stud"," 0.0437","-0.0043"
"43","true","Official"," 0.3600"," 0.0000"
"44","hd.ord","Official"," 0.3598","-0.0002"
"45","hd.norm.orig","Official"," 0.3600"," 0.0000"
"46","amelia","Official"," 0.3602"," 0.0002"
"47","mice","Official"," 0.3602"," 0.0002"
"48","na.omit","Official"," 0.3209","-0.0391"
"49","true","Media"," 1.7110"," 0.0000"
"50","hd.ord","Media"," 1.7071","-0.0039"
"51","hd.norm.orig","Media"," 1.7064","-0.0046"
"52","amelia","Media"," 1.7110"," 0.0000"
"53","mice","Media"," 1.7110"," 0.0000"
"54","na.omit","Media"," 1.6180","-0.0930"
"55","true","Participation"," 0.9910"," 0.0000"
"56","hd.ord","Participation"," 0.9894","-0.0016"
"57","hd.norm.orig","Participation"," 0.9891","-0.0019"
"58","amelia","Participation"," 0.9908","-0.0002"
"59","mice","Participation"," 0.9910"," 0.0000"
"60","na.omit","Participation"," 0.8944","-0.0966"
"61","true","interest"," 3.1890"," 0.0000"
"62","hd.ord","interest"," 3.1811","-0.0079"
"63","hd.norm.orig","interest"," 3.1797","-0.0093"
"64","amelia","interest"," 3.1892"," 0.0002"
"65","mice","interest"," 3.1888","-0.0002"
"66","na.omit","interest"," 3.1195","-0.0695"
"67","true","inc"," 3.1000"," 0.0000"
"68","hd.ord","inc"," 3.0959","-0.0041"
"69","hd.norm.orig","inc"," 3.0932","-0.0068"
"70","amelia","inc"," 3.1001"," 0.0001"
"71","mice","inc"," 3.1005"," 0.0005"
"72","na.omit","inc"," 3.0222","-0.0778"
"73","true","age","37.6220"," 0.0000"
"74","hd.ord","age","37.4896","-0.1324"
"75","hd.norm.orig","age","37.4768","-0.1452"
"76","amelia","age","37.6239"," 0.0019"
"77","mice","age","37.6246"," 0.0026"
"78","na.omit","age","36.9281","-0.6939"
