"","method","variable","value","diff"
"1","true","Dem"," 0.3770"," 0.0000"
"2","hd.ord","Dem"," 0.3724","-0.0046"
"3","hot.deck","Dem"," 0.3721","-0.0049"
"4","amelia","Dem"," 0.3725","-0.0045"
"5","mice","Dem"," 0.3726","-0.0044"
"6","na.omit","Dem"," 0.3689","-0.0081"
"7","true","Male"," 0.4830"," 0.0000"
"8","hd.ord","Male"," 0.4781","-0.0049"
"9","hot.deck","Male"," 0.4779","-0.0051"
"10","amelia","Male"," 0.4780","-0.0050"
"11","mice","Male"," 0.4781","-0.0049"
"12","na.omit","Male"," 0.4711","-0.0119"
"13","true","Interest"," 3.3290"," 0.0000"
"14","hd.ord","Interest"," 3.3200","-0.0090"
"15","hot.deck","Interest"," 3.3177","-0.0113"
"16","amelia","Interest"," 3.3229","-0.0061"
"17","mice","Interest"," 3.3229","-0.0061"
"18","na.omit","Interest"," 3.3129","-0.0161"
"19","true","Inc"," 6.4810"," 0.0000"
"20","hd.ord","Inc"," 6.4460","-0.0350"
"21","hot.deck","Inc"," 6.4389","-0.0421"
"22","amelia","Inc"," 6.4587","-0.0223"
"23","mice","Inc"," 6.4592","-0.0218"
"24","na.omit","Inc"," 6.3840","-0.0970"
"25","true","Age","52.8230"," 0.0000"
"26","hd.ord","Age","52.6498","-0.1732"
"27","hot.deck","Age","52.5979","-0.2251"
"28","amelia","Age","52.7216","-0.1014"
"29","mice","Age","52.7244","-0.0986"
"30","na.omit","Age","52.6863","-0.1367"
"31","true","Black"," 0.0950"," 0.0000"
"32","hd.ord","Black"," 0.0912","-0.0038"
"33","hot.deck","Black"," 0.0912","-0.0038"
"34","amelia","Black"," 0.0910","-0.0040"
"35","mice","Black"," 0.0912","-0.0038"
"36","na.omit","Black"," 0.0898","-0.0052"
"37","true","Empl"," 0.4370"," 0.0000"
"38","hd.ord","Empl"," 0.4317","-0.0053"
"39","hot.deck","Empl"," 0.4317","-0.0053"
"40","amelia","Empl"," 0.4330","-0.0040"
"41","mice","Empl"," 0.4330","-0.0040"
"42","na.omit","Empl"," 0.4259","-0.0111"
"43","true","Religious"," 0.6420"," 0.0000"
"44","hd.ord","Religious"," 0.6381","-0.0039"
"45","hot.deck","Religious"," 0.6382","-0.0038"
"46","amelia","Religious"," 0.6380","-0.0040"
"47","mice","Religious"," 0.6380","-0.0040"
"48","na.omit","Religious"," 0.6347","-0.0073"
"49","true","Married"," 0.6310"," 0.0000"
"50","hd.ord","Married"," 0.6272","-0.0038"
"51","hot.deck","Married"," 0.6273","-0.0037"
"52","amelia","Married"," 0.6273","-0.0037"
"53","mice","Married"," 0.6273","-0.0037"
"54","na.omit","Married"," 0.6214","-0.0096"
"55","true","OwnHome"," 0.7010"," 0.0000"
"56","hd.ord","OwnHome"," 0.6980","-0.0030"
"57","hot.deck","OwnHome"," 0.6983","-0.0027"
"58","amelia","OwnHome"," 0.6980","-0.0030"
"59","mice","OwnHome"," 0.6980","-0.0030"
"60","na.omit","OwnHome"," 0.6920","-0.0090"
"61","true","Gay"," 0.0420"," 0.0000"
"62","hd.ord","Gay"," 0.0396","-0.0024"
"63","hot.deck","Gay"," 0.0395","-0.0025"
"64","amelia","Gay"," 0.0394","-0.0026"
"65","mice","Gay"," 0.0396","-0.0024"
"66","na.omit","Gay"," 0.0385","-0.0035"
"67","true","StudLoans"," 0.1910"," 0.0000"
"68","hd.ord","StudLoans"," 0.1852","-0.0058"
"69","hot.deck","StudLoans"," 0.1852","-0.0058"
"70","amelia","StudLoans"," 0.1859","-0.0051"
"71","mice","StudLoans"," 0.1860","-0.0050"
"72","na.omit","StudLoans"," 0.1840","-0.0070"
