"","method","variable","value","diff"
"1","true","Dem"," 0.3549"," 0.0000"
"2","hd.ord","Dem"," 0.3552"," 0.0003"
"3","hd.norm.orig","Dem"," 0.3552"," 0.0003"
"4","amelia","Dem"," 0.3549"," 0.0000"
"5","mice","Dem"," 0.3549"," 0.0000"
"6","na.omit","Dem"," 0.3385","-0.0164"
"7","true","inc","15.5740"," 0.0000"
"8","hd.ord","inc","15.5776"," 0.0036"
"9","hd.norm.orig","inc","15.5794"," 0.0054"
"10","amelia","inc","15.5751"," 0.0011"
"11","mice","inc","15.5757"," 0.0017"
"12","na.omit","inc","15.2303","-0.3437"
"13","true","age","49.0400"," 0.0000"
"14","hd.ord","age","49.0099","-0.0301"
"15","hd.norm.orig","age","49.0169","-0.0231"
"16","amelia","age","49.0397","-0.0003"
"17","mice","age","49.0402"," 0.0002"
"18","na.omit","age","48.3708","-0.6692"
"19","true","Male"," 0.4682"," 0.0000"
"20","hd.ord","Male"," 0.4684"," 0.0002"
"21","hd.norm.orig","Male"," 0.4684"," 0.0002"
"22","amelia","Male"," 0.4683"," 0.0001"
"23","mice","Male"," 0.4683"," 0.0001"
"24","na.omit","Male"," 0.4466","-0.0216"
"25","true","interest"," 2.2197"," 0.0000"
"26","hd.ord","interest"," 2.2209"," 0.0012"
"27","hd.norm.orig","interest"," 2.2209"," 0.0012"
"28","amelia","interest"," 2.2194","-0.0003"
"29","mice","interest"," 2.2194","-0.0003"
"30","na.omit","interest"," 2.2006","-0.0191"
