"","method","variable","value","diff"
"1","true","Dem"," 0.4660"," 0.0000"
"2","hd.ord","Dem"," 0.4676"," 0.0016"
"3","hot.deck","Dem"," 0.4697"," 0.0037"
"4","amelia","Dem"," 0.4664"," 0.0004"
"5","mice","Dem"," 0.4664"," 0.0004"
"6","na.omit","Dem"," 0.3267","-0.1393"
"7","true","Male"," 0.5260"," 0.0000"
"8","hd.ord","Male"," 0.5256","-0.0004"
"9","hot.deck","Male"," 0.5274"," 0.0014"
"10","amelia","Male"," 0.5257","-0.0003"
"11","mice","Male"," 0.5254","-0.0006"
"12","na.omit","Male"," 0.4209","-0.1051"
"13","true","Interest"," 3.2170"," 0.0000"
"14","hd.ord","Interest"," 3.1262","-0.0908"
"15","hot.deck","Interest"," 3.1163","-0.1007"
"16","amelia","Interest"," 3.2173"," 0.0003"
"17","mice","Interest"," 3.2171"," 0.0001"
"18","na.omit","Interest"," 2.8951","-0.3219"
"19","true","Inc"," 3.0890"," 0.0000"
"20","hd.ord","Inc"," 3.0296","-0.0594"
"21","hot.deck","Inc"," 3.0085","-0.0805"
"22","amelia","Inc"," 3.0899"," 0.0009"
"23","mice","Inc"," 3.0929"," 0.0039"
"24","na.omit","Inc"," 2.6040","-0.4850"
"25","true","Age","37.9120"," 0.0000"
"26","hd.ord","Age","36.3331","-1.5789"
"27","hot.deck","Age","36.2158","-1.6962"
"28","amelia","Age","37.9115","-0.0005"
"29","mice","Age","37.9154"," 0.0034"
"30","na.omit","Age","34.4235","-3.4885"
