"","method","variable","value","diff"
"1","true","Dem"," 0.4660"," 0.0000"
"2","hd.ord","Dem"," 0.4662"," 0.0002"
"3","hot.deck","Dem"," 0.4665"," 0.0005"
"4","amelia","Dem"," 0.4660"," 0.0000"
"5","mice","Dem"," 0.4661"," 0.0001"
"6","na.omit","Dem"," 0.4366","-0.0294"
"7","true","Male"," 0.5260"," 0.0000"
"8","hd.ord","Male"," 0.5259","-0.0001"
"9","hot.deck","Male"," 0.5262"," 0.0002"
"10","amelia","Male"," 0.5261"," 0.0001"
"11","mice","Male"," 0.5261"," 0.0001"
"12","na.omit","Male"," 0.5086","-0.0174"
"13","true","Inc"," 3.0890"," 0.0000"
"14","hd.ord","Inc"," 3.0836","-0.0054"
"15","hot.deck","Inc"," 3.0795","-0.0095"
"16","amelia","Inc"," 3.0886","-0.0004"
"17","mice","Inc"," 3.0889","-0.0001"
"18","na.omit","Inc"," 2.9907","-0.0983"
"19","true","Age","37.9120"," 0.0000"
"20","hd.ord","Age","37.7741","-0.1379"
"21","hot.deck","Age","37.7480","-0.1640"
"22","amelia","Age","37.9121"," 0.0001"
"23","mice","Age","37.9142"," 0.0022"
"24","na.omit","Age","37.3830","-0.5290"
"25","true","Black"," 0.0690"," 0.0000"
"26","hd.ord","Black"," 0.0690"," 0.0000"
"27","hot.deck","Black"," 0.0688","-0.0002"
"28","amelia","Black"," 0.0690"," 0.0000"
"29","mice","Black"," 0.0690"," 0.0000"
"30","na.omit","Black"," 0.0556","-0.0134"
"31","true","Empl"," 0.7430"," 0.0000"
"32","hd.ord","Empl"," 0.7438"," 0.0008"
"33","hot.deck","Empl"," 0.7437"," 0.0007"
"34","amelia","Empl"," 0.7431"," 0.0001"
"35","mice","Empl"," 0.7430"," 0.0000"
"36","na.omit","Empl"," 0.7271","-0.0159"
"37","true","Hisp"," 0.0550"," 0.0000"
"38","hd.ord","Hisp"," 0.0548","-0.0002"
"39","hot.deck","Hisp"," 0.0549","-0.0001"
"40","amelia","Hisp"," 0.0551"," 0.0001"
"41","mice","Hisp"," 0.0550"," 0.0000"
"42","na.omit","Hisp"," 0.0459","-0.0091"
"43","true","Official"," 0.3560"," 0.0000"
"44","hd.ord","Official"," 0.3554","-0.0006"
"45","hot.deck","Official"," 0.3556","-0.0004"
"46","amelia","Official"," 0.3560"," 0.0000"
"47","mice","Official"," 0.3561"," 0.0001"
"48","na.omit","Official"," 0.3187","-0.0373"
"49","true","Stud"," 0.0440"," 0.0000"
"50","hd.ord","Stud"," 0.0440"," 0.0000"
"51","hot.deck","Stud"," 0.0439","-0.0001"
"52","amelia","Stud"," 0.0440"," 0.0000"
"53","mice","Stud"," 0.0440"," 0.0000"
"54","na.omit","Stud"," 0.0414","-0.0026"
"55","true","Media"," 1.7240"," 0.0000"
"56","hd.ord","Media"," 1.7193","-0.0047"
"57","hot.deck","Media"," 1.7181","-0.0059"
"58","amelia","Media"," 1.7242"," 0.0002"
"59","mice","Media"," 1.7242"," 0.0002"
"60","na.omit","Media"," 1.6319","-0.0921"
"61","true","Participation"," 0.9540"," 0.0000"
"62","hd.ord","Participation"," 0.9521","-0.0019"
"63","hot.deck","Participation"," 0.9514","-0.0026"
"64","amelia","Participation"," 0.9538","-0.0002"
"65","mice","Participation"," 0.9540"," 0.0000"
"66","na.omit","Participation"," 0.8577","-0.0963"
