"","method","variable","value","diff"
"1","true","Dem"," 0.4660"," 0.0000"
"2","hd.ord","Dem"," 0.4661"," 0.0001"
"3","hot.deck","Dem"," 0.4668"," 0.0008"
"4","amelia","Dem"," 0.4659","-0.0001"
"5","mice","Dem"," 0.4660"," 0.0000"
"6","na.omit","Dem"," 0.4320","-0.0340"
"7","true","Male"," 0.5260"," 0.0000"
"8","hd.ord","Male"," 0.5261"," 0.0001"
"9","hot.deck","Male"," 0.5265"," 0.0005"
"10","amelia","Male"," 0.5260"," 0.0000"
"11","mice","Male"," 0.5259","-0.0001"
"12","na.omit","Male"," 0.5004","-0.0256"
"13","true","Interest"," 3.2170"," 0.0000"
"14","hd.ord","Interest"," 3.1957","-0.0213"
"15","hot.deck","Interest"," 3.1922","-0.0248"
"16","amelia","Interest"," 3.2168","-0.0002"
"17","mice","Interest"," 3.2167","-0.0003"
"18","na.omit","Interest"," 3.1456","-0.0714"
"19","true","Inc"," 3.0890"," 0.0000"
"20","hd.ord","Inc"," 3.0771","-0.0119"
"21","hot.deck","Inc"," 3.0698","-0.0192"
"22","amelia","Inc"," 3.0893"," 0.0003"
"23","mice","Inc"," 3.0904"," 0.0014"
"24","na.omit","Inc"," 2.9523","-0.1367"
"25","true","Age","37.9120"," 0.0000"
"26","hd.ord","Age","37.5470","-0.3650"
"27","hot.deck","Age","37.5197","-0.3923"
"28","amelia","Age","37.9081","-0.0039"
"29","mice","Age","37.9071","-0.0049"
"30","na.omit","Age","36.8479","-1.0641"
