"","method","variable","value","diff"
"1","true","Dem"," 0.4660"," 0.0000"
"2","hd.ord","Dem"," 0.4661"," 0.0001"
"3","hot.deck","Dem"," 0.4664"," 0.0004"
"4","amelia","Dem"," 0.4661"," 0.0001"
"5","mice","Dem"," 0.4661"," 0.0001"
"6","na.omit","Dem"," 0.4380","-0.0280"
"7","true","Male"," 0.5260"," 0.0000"
"8","hd.ord","Male"," 0.5258","-0.0002"
"9","hot.deck","Male"," 0.5260"," 0.0000"
"10","amelia","Male"," 0.5259","-0.0001"
"11","mice","Male"," 0.5259","-0.0001"
"12","na.omit","Male"," 0.5106","-0.0154"
"13","true","Interest"," 3.2170"," 0.0000"
"14","hd.ord","Interest"," 3.2075","-0.0095"
"15","hot.deck","Interest"," 3.2064","-0.0106"
"16","amelia","Interest"," 3.2172"," 0.0002"
"17","mice","Interest"," 3.2169","-0.0001"
"18","na.omit","Interest"," 3.1449","-0.0721"
"19","true","Inc"," 3.0890"," 0.0000"
"20","hd.ord","Inc"," 3.0830","-0.0060"
"21","hot.deck","Inc"," 3.0801","-0.0089"
"22","amelia","Inc"," 3.0888","-0.0002"
"23","mice","Inc"," 3.0890"," 0.0000"
"24","na.omit","Inc"," 2.9930","-0.0960"
"25","true","Age","37.9120"," 0.0000"
"26","hd.ord","Age","37.7626","-0.1494"
"27","hot.deck","Age","37.7528","-0.1592"
"28","amelia","Age","37.9079","-0.0041"
"29","mice","Age","37.9091","-0.0029"
"30","na.omit","Age","37.2686","-0.6434"
"31","true","Black"," 0.0690"," 0.0000"
"32","hd.ord","Black"," 0.0689","-0.0001"
"33","hot.deck","Black"," 0.0687","-0.0003"
"34","amelia","Black"," 0.0690"," 0.0000"
"35","mice","Black"," 0.0691"," 0.0001"
"36","na.omit","Black"," 0.0580","-0.0110"
"37","true","Empl"," 0.7430"," 0.0000"
"38","hd.ord","Empl"," 0.7437"," 0.0007"
"39","hot.deck","Empl"," 0.7436"," 0.0006"
"40","amelia","Empl"," 0.7430"," 0.0000"
"41","mice","Empl"," 0.7429","-0.0001"
"42","na.omit","Empl"," 0.7273","-0.0157"
"43","true","Hisp"," 0.0550"," 0.0000"
"44","hd.ord","Hisp"," 0.0548","-0.0002"
"45","hot.deck","Hisp"," 0.0548","-0.0002"
"46","amelia","Hisp"," 0.0550"," 0.0000"
"47","mice","Hisp"," 0.0550"," 0.0000"
"48","na.omit","Hisp"," 0.0478","-0.0072"
"49","true","Official"," 0.3560"," 0.0000"
"50","hd.ord","Official"," 0.3560"," 0.0000"
"51","hot.deck","Official"," 0.3557","-0.0003"
"52","amelia","Official"," 0.3561"," 0.0001"
"53","mice","Official"," 0.3561"," 0.0001"
"54","na.omit","Official"," 0.3175","-0.0385"
"55","true","Stud"," 0.0440"," 0.0000"
"56","hd.ord","Stud"," 0.0440"," 0.0000"
"57","hot.deck","Stud"," 0.0440"," 0.0000"
"58","amelia","Stud"," 0.0440"," 0.0000"
"59","mice","Stud"," 0.0441"," 0.0001"
"60","na.omit","Stud"," 0.0428","-0.0012"
"61","true","Media"," 1.7240"," 0.0000"
"62","hd.ord","Media"," 1.7191","-0.0049"
"63","hot.deck","Media"," 1.7180","-0.0060"
"64","amelia","Media"," 1.7241"," 0.0001"
"65","mice","Media"," 1.7241"," 0.0001"
"66","na.omit","Media"," 1.6256","-0.0984"
"67","true","Participation"," 0.9540"," 0.0000"
"68","hd.ord","Participation"," 0.9519","-0.0021"
"69","hot.deck","Participation"," 0.9513","-0.0027"
"70","amelia","Participation"," 0.9537","-0.0003"
"71","mice","Participation"," 0.9539","-0.0001"
"72","na.omit","Participation"," 0.8537","-0.1003"
