"","method","variable","value","diff"
"1","true","Dem"," 0.4660"," 0.0000"
"2","hd.ord","Dem"," 0.4662"," 0.0002"
"3","hd.norm.orig","Dem"," 0.4662"," 0.0002"
"4","amelia","Dem"," 0.4662"," 0.0002"
"5","mice","Dem"," 0.4660"," 0.0000"
"6","na.omit","Dem"," 0.4292","-0.0368"
"7","true","inc"," 3.1260"," 0.0000"
"8","hd.ord","inc"," 3.1155","-0.0105"
"9","hd.norm.orig","inc"," 3.1093","-0.0167"
"10","amelia","inc"," 3.1250","-0.0010"
"11","mice","inc"," 3.1256","-0.0004"
"12","na.omit","inc"," 2.9974","-0.1286"
"13","true","age","38.1270"," 0.0000"
"14","hd.ord","age","37.8058","-0.3212"
"15","hd.norm.orig","age","37.7523","-0.3747"
"16","amelia","age","38.1207","-0.0063"
"17","mice","age","38.1271"," 0.0001"
"18","na.omit","age","36.7706","-1.3564"
"19","true","Female"," 0.4380"," 0.0000"
"20","hd.ord","Female"," 0.4370","-0.0010"
"21","hd.norm.orig","Female"," 0.4363","-0.0017"
"22","amelia","Female"," 0.4378","-0.0002"
"23","mice","Female"," 0.4381"," 0.0001"
"24","na.omit","Female"," 0.3946","-0.0434"
"25","true","interest"," 3.2070"," 0.0000"
"26","hd.ord","interest"," 3.1897","-0.0173"
"27","hd.norm.orig","interest"," 3.1840","-0.0230"
"28","amelia","interest"," 3.2072"," 0.0002"
"29","mice","interest"," 3.2069","-0.0001"
"30","na.omit","interest"," 3.1330","-0.0740"
