"","method","variable","value","diff"
"1","true","Dem"," 0.4666"," 0.0000"
"2","hd.ord","Dem"," 0.4669"," 0.0003"
"3","hd.norm.orig","Dem"," 0.4673"," 0.0007"
"4","amelia","Dem"," 0.4667"," 0.0001"
"5","mice","Dem"," 0.4666"," 0.0000"
"6","na.omit","Dem"," 0.4440","-0.0226"
"7","true","inc"," 3.0927"," 0.0000"
"8","hd.ord","inc"," 3.0850","-0.0077"
"9","hd.norm.orig","inc"," 3.0784","-0.0143"
"10","amelia","inc"," 3.0928"," 0.0001"
"11","mice","inc"," 3.0937"," 0.0010"
"12","na.omit","inc"," 3.0236","-0.0691"
"13","true","age","37.9252"," 0.0000"
"14","hd.ord","age","37.5868","-0.3384"
"15","hd.norm.orig","age","37.5146","-0.4106"
"16","amelia","age","37.9263"," 0.0011"
"17","mice","age","37.9301"," 0.0049"
"18","na.omit","age","37.2521","-0.6731"
"19","true","Female"," 0.4666"," 0.0000"
"20","hd.ord","Female"," 0.4662","-0.0004"
"21","hd.norm.orig","Female"," 0.4657","-0.0009"
"22","amelia","Female"," 0.4666"," 0.0000"
"23","mice","Female"," 0.4668"," 0.0002"
"24","na.omit","Female"," 0.4417","-0.0249"
"25","true","interest"," 3.2164"," 0.0000"
"26","hd.ord","interest"," 3.1964","-0.0200"
"27","hd.norm.orig","interest"," 3.1942","-0.0222"
"28","amelia","interest"," 3.2161","-0.0003"
"29","mice","interest"," 3.2160","-0.0004"
"30","na.omit","interest"," 3.1711","-0.0453"
