"","method","variable","value","diff"
"1","true","Dem"," 0.3770"," 0.0000"
"2","hd.ord","Dem"," 0.3772"," 0.0002"
"3","hot.deck","Dem"," 0.3765","-0.0005"
"4","amelia","Dem"," 0.3771"," 0.0001"
"5","mice","Dem"," 0.3772"," 0.0002"
"6","na.omit","Dem"," 0.3476","-0.0294"
"7","true","Male"," 0.4830"," 0.0000"
"8","hd.ord","Male"," 0.4811","-0.0019"
"9","hot.deck","Male"," 0.4812","-0.0018"
"10","amelia","Male"," 0.4830"," 0.0000"
"11","mice","Male"," 0.4830"," 0.0000"
"12","na.omit","Male"," 0.4423","-0.0407"
"13","true","Inc"," 6.4810"," 0.0000"
"14","hd.ord","Inc"," 6.4564","-0.0246"
"15","hot.deck","Inc"," 6.4294","-0.0516"
"16","amelia","Inc"," 6.4804","-0.0006"
"17","mice","Inc"," 6.4812"," 0.0002"
"18","na.omit","Inc"," 6.2246","-0.2564"
"19","true","Age","52.8230"," 0.0000"
"20","hd.ord","Age","52.5880","-0.2350"
"21","hot.deck","Age","52.3566","-0.4664"
"22","amelia","Age","52.8315"," 0.0085"
"23","mice","Age","52.8228","-0.0002"
"24","na.omit","Age","51.7002","-1.1228"
