"","method","variable","value","diff"
"1","true","Dem"," 0.3770"," 0.0000"
"2","hd.ord","Dem"," 0.3770"," 0.0000"
"3","hot.deck","Dem"," 0.3767","-0.0003"
"4","amelia","Dem"," 0.3772"," 0.0002"
"5","mice","Dem"," 0.3773"," 0.0003"
"6","na.omit","Dem"," 0.3543","-0.0227"
"7","true","Male"," 0.4830"," 0.0000"
"8","hd.ord","Male"," 0.4820","-0.0010"
"9","hot.deck","Male"," 0.4816","-0.0014"
"10","amelia","Male"," 0.4829","-0.0001"
"11","mice","Male"," 0.4829","-0.0001"
"12","na.omit","Male"," 0.4415","-0.0415"
"13","true","Interest"," 3.3290"," 0.0000"
"14","hd.ord","Interest"," 3.3169","-0.0121"
"15","hot.deck","Interest"," 3.3096","-0.0194"
"16","amelia","Interest"," 3.3294"," 0.0004"
"17","mice","Interest"," 3.3291"," 0.0001"
"18","na.omit","Interest"," 3.2564","-0.0726"
"19","true","Inc"," 6.4810"," 0.0000"
"20","hd.ord","Inc"," 6.4548","-0.0262"
"21","hot.deck","Inc"," 6.4392","-0.0418"
"22","amelia","Inc"," 6.4801","-0.0009"
"23","mice","Inc"," 6.4805","-0.0005"
"24","na.omit","Inc"," 6.2336","-0.2474"
"25","true","Age","52.8230"," 0.0000"
"26","hd.ord","Age","52.5615","-0.2615"
"27","hot.deck","Age","52.4376","-0.3854"
"28","amelia","Age","52.8248"," 0.0018"
"29","mice","Age","52.8201","-0.0029"
"30","na.omit","Age","51.5941","-1.2289"
